Step,voronoi+fno val,voronoi+unet val,voronoi+unet train,voronoi+fno train
0,0.01327215,0.143317431,0.145306826,0.013206727
1,0.00686272,0.035193399,0.034789555,0.006906689
2,0.004879497,0.020157095,0.019326203,0.004947591
3,0.004368146,0.017689824,0.017947849,0.004282859
4,0.003334387,0.014142134,0.013655734,0.003415172
5,0.003298407,0.009243566,0.009532555,0.003196811
6,0.003246048,0.012502449,0.012517063,0.003203315
7,0.002215652,0.010318687,0.010040726,0.002309183
8,0.003329788,0.010926444,0.011589806,0.003272495
9,0.002828086,0.006637048,0.006591049,0.002778956
10,0.002998772,0.00638464,0.006798389,0.003213492
11,0.001926036,0.008003753,0.007459196,0.001929144
12,0.002189651,0.008143959,0.00777861,0.002310304
13,0.003308285,0.006179343,0.006636584,0.003304956
14,0.002370288,0.007758905,0.00741799,0.002278997
15,0.002164285,0.010008216,0.009654193,0.00244737
16,0.002509345,0.007348706,0.007542487,0.002325678
17,0.002163283,0.006381972,0.007075634,0.002057513
18,0.00196537,0.004981546,0.005216955,0.001857842
19,0.002130057,0.006471986,0.006397715,0.002134458
20,0.001329424,0.005759511,0.005427693,0.001348681
21,0.002389132,0.004522872,0.005056398,0.002224765
22,0.001865877,0.003766309,0.004120776,0.001799523
23,0.001550054,0.004119023,0.004038278,0.001698057
24,0.001451362,0.005732132,0.005393048,0.001538134
25,0.001108676,0.004482851,0.004574735,0.001160558
26,0.001468335,0.003656618,0.004102515,0.001391695
27,0.001167639,0.004514773,0.004480479,0.001193881
28,0.001258087,0.00386399,0.00407291,0.00136802
29,0.001078333,0.005538784,0.005987601,0.001179104
30,0.001750922,0.003805218,0.003838213,0.001669364
31,0.001205926,0.004793685,0.004574254,0.001178418
32,0.001541429,0.003357767,0.003310593,0.001556424
33,0.001017477,0.00352285,0.003516928,0.001055473
34,0.001137164,0.003702086,0.003723158,0.001058407
35,0.001246349,0.003286037,0.003176298,0.001185891
36,0.001618029,0.002653855,0.002614994,0.00156728
37,0.001371705,0.004139722,0.003573866,0.00136825
38,0.001081708,0.003055489,0.003051755,0.001172077
39,0.000900859,0.002826426,0.002833579,0.000917864
40,0.000808747,0.002636981,0.002860562,0.000774715
41,0.000933037,0.003140236,0.003244934,0.000928834
42,0.000902882,0.002555948,0.002470777,0.000960972
43,0.001495419,0.002402821,0.002364082,0.001387413
44,0.000894233,0.003595612,0.003474761,0.000910025
45,0.000767707,0.003351506,0.003478827,0.000760059
46,0.000792193,0.002925266,0.002835769,0.00075377
47,0.000865027,0.002614159,0.002821553,0.000859928
48,0.000878976,0.002411195,0.002411011,0.000899298
49,0.001014814,0.002476104,0.002401268,0.001017077
50,0.000668075,0.00205157,0.002188409,0.000599452
51,0.001078593,0.002260577,0.002353401,0.001095157
52,0.000653507,0.002541804,0.002471517,0.000679384
53,0.000613743,0.00191182,0.001913138,0.000594332
54,0.000940796,0.003407995,0.003306116,0.000929815
55,0.000700304,0.002258343,0.002284888,0.000708778
56,0.000621355,0.00256887,0.002628274,0.000627724
57,0.000681369,0.003077712,0.002502811,0.000672867
58,0.000608278,0.002128396,0.002215309,0.000599133
59,0.000800279,0.002168585,0.002172958,0.000839884
60,0.000917451,0.002336124,0.002416267,0.0008705
61,0.000607047,0.00170936,0.00181509,0.000579808
62,0.000674549,0.001510304,0.001500447,0.000631524
63,0.000842994,0.001771701,0.001723691,0.000711337
64,0.000616445,0.002324396,0.002440371,0.000655234
65,0.000661999,0.001744396,0.001761454,0.000656944
66,0.000596269,0.001551745,0.001634614,0.000631841
67,0.000614588,0.001502676,0.001569221,0.000625755
68,0.000444309,0.001430368,0.001497076,0.000446036
69,0.000499708,0.002033301,0.00188624,0.000536149
70,0.00062747,0.002062719,0.002030863,0.000603284
71,0.000507198,0.001588408,0.00157318,0.00047324
72,0.000867157,0.001718886,0.001853151,0.000825028
73,0.000450454,0.001521852,0.001623851,0.000457199
74,0.000802564,0.001213382,0.001215778,0.00085861
75,0.000575904,0.001413716,0.001498208,0.000565062
76,0.000459849,0.001524794,0.001819085,0.000445044
77,0.000460776,0.001516816,0.001433855,0.000461969
78,0.000444935,0.0012651,0.001224315,0.00043756
79,0.000449393,0.001211585,0.001394818,0.000424545
80,0.000395101,0.001202506,0.001199954,0.000399331
81,0.000350861,0.000932258,0.001016463,0.000334708
82,0.000393509,0.001156943,0.001196767,0.000388409
83,0.00044674,0.001322452,0.001315767,0.000427554
84,0.000376504,0.001196142,0.001195831,0.000382868
85,0.000357819,0.001558693,0.001483353,0.000347581
86,0.00039849,0.001303323,0.001414336,0.000377719
87,0.000366993,0.001001805,0.000976032,0.000356561
88,0.000416253,0.001180715,0.001219189,0.000416694
89,0.000361965,0.000971948,0.000970287,0.000362151
90,0.000376663,0.001096593,0.001080211,0.000393735
91,0.000396461,0.000970583,0.000973538,0.000366327
92,0.000353234,0.000954704,0.000928557,0.000375196
93,0.000276422,0.001160267,0.001206598,0.000264071
94,0.000403998,0.000897797,0.000903471,0.000370194
95,0.00026264,0.001037317,0.001029592,0.000261991
96,0.000374319,0.001210654,0.00124204,0.000378419
97,0.00028345,0.000966528,0.001015244,0.000288893
98,0.000243965,0.001088506,0.001042334,0.000242339
99,0.000251931,0.000890625,0.000885053,0.000252233
100,0.00033677,0.000772378,0.000819999,0.000344489
101,0.000250519,0.001030219,0.000980038,0.000256565
102,0.000221606,0.000973087,0.000956697,0.000224143
103,0.00022709,0.000928493,0.001060415,0.000220826
104,0.000641887,0.00082395,0.000868695,0.000614359
105,0.000252205,0.000669829,0.000761586,0.000251692
106,0.000365136,0.000783009,0.000731578,0.000324506
107,0.000222562,0.000847871,0.000807562,0.000207365
108,0.000241722,0.000723748,0.000709467,0.000241106
109,0.000223234,0.000827282,0.000774129,0.000220716
110,0.000234762,0.00079424,0.000755707,0.000225373
111,0.000207621,0.000709913,0.000698394,0.00019896
112,0.00020987,0.000597118,0.000587944,0.000192454
113,0.000382844,0.000759841,0.000757836,0.000352359
114,0.000277298,0.000876296,0.000799404,0.000258803
115,0.000211142,0.000738109,0.00070834,0.000196894
116,0.00022152,0.000549272,0.000534767,0.000206802
117,0.00018163,0.000586153,0.000604789,0.000177005
118,0.000175777,0.000582649,0.000568379,0.000168916
119,0.000227122,0.000610915,0.000589037,0.000226447
120,0.000185545,0.000640428,0.000652394,0.000180401
121,0.000163749,0.0005355,0.000505109,0.000170451
122,0.000218919,0.000595899,0.0005724,0.000191641
123,0.00021281,0.000526226,0.000564717,0.000219904
124,0.000185886,0.000647591,0.000620368,0.000182532
125,0.00014669,0.000464934,0.000446711,0.000141423
126,0.00016897,0.000552969,0.000556418,0.000168305
127,0.000157517,0.000649693,0.00061626,0.000139826
128,0.000155762,0.000564826,0.000555199,0.000158064
129,0.000155997,0.000943788,0.00082304,0.000145208
130,0.000134305,0.000567058,0.000567611,0.00012407
131,0.000171151,0.000531573,0.00052459,0.000163439
132,0.00020215,0.000439729,0.000427708,0.000188497
133,0.000176661,0.000542536,0.000564037,0.000157488
134,0.000148567,0.000666205,0.000803368,0.000155664
135,0.000130859,0.000479733,0.00046626,0.00013555
136,0.000177,0.000562288,0.00053159,0.000174911
137,0.000144812,0.000431553,0.000441999,0.000141614
138,0.000154182,0.000537518,0.000515532,0.000139774
139,0.000121488,0.000489021,0.000480244,0.000117645
140,0.000154067,0.000445181,0.000424548,0.000146526
141,0.000188942,0.000710321,0.000665679,0.000190837
142,0.000113223,0.000441483,0.000424008,0.000119096
143,0.00017411,0.000462462,0.000502589,0.000176308
144,0.0001339,0.000458003,0.000427638,0.000129221
145,0.000122122,0.000511799,0.000492468,0.000121397
146,0.000112541,0.000404367,0.000393351,0.000111059
147,0.000139529,0.000459743,0.00044672,0.000140584
148,0.00014884,0.000459259,0.000446733,0.000136035
149,0.000106297,0.000397949,0.000386794,0.000104611
150,9.16E-05,0.000373506,0.000356342,9.01E-05
151,0.000115599,0.000465886,0.00045586,0.000102545
152,0.000110631,0.00042839,0.000417272,0.000104254
153,9.76E-05,0.000415189,0.000388497,9.84E-05
154,0.000124019,0.000392196,0.000374604,0.00011693
155,9.36E-05,0.000426125,0.000415772,8.79E-05
156,0.000114064,0.000507107,0.000538324,0.000110754
157,8.86E-05,0.00045131,0.000425453,8.71E-05
158,1.00E-04,0.000389399,0.000368096,9.52E-05
159,9.50E-05,0.000390996,0.00037578,9.37E-05
160,9.90E-05,0.000354093,0.00033819,9.46E-05
161,0.000106439,0.000418682,0.000390056,9.70E-05
162,9.55E-05,0.00036172,0.000346128,8.86E-05
163,9.31E-05,0.000367362,0.000359568,9.09E-05
164,0.000119486,0.000359328,0.000344218,0.000107398
165,0.000108063,0.000432632,0.000410939,0.000106928
166,0.000109234,0.000375421,0.000364587,0.000101204
167,9.47E-05,0.000410653,0.000370596,8.54E-05
168,8.42E-05,0.000441256,0.000479721,8.37E-05
169,9.19E-05,0.000401496,0.000398101,8.60E-05
170,8.55E-05,0.000391736,0.000374852,8.14E-05
171,9.90E-05,0.000348611,0.000329955,8.91E-05
172,8.41E-05,0.000369074,0.000362416,8.15E-05
173,9.98E-05,0.000336988,0.000317351,9.02E-05
174,8.30E-05,0.000366065,0.000351088,7.76E-05
175,8.93E-05,0.000342523,0.000317353,8.41E-05
176,7.55E-05,0.000338991,0.000331204,7.22E-05
177,7.98E-05,0.000369785,0.000355593,7.17E-05
178,8.87E-05,0.000328158,0.000317397,8.21E-05
179,7.69E-05,0.000340977,0.000323082,6.82E-05
180,8.67E-05,0.000426602,0.000420403,8.05E-05
181,8.28E-05,0.000314364,0.000295997,7.68E-05
182,0.000102964,0.000317249,0.000297134,9.85E-05
183,8.31E-05,0.000387661,0.000372191,7.54E-05
184,7.85E-05,0.000323357,0.000307543,7.57E-05
185,7.05E-05,0.000322226,0.000304528,6.77E-05
186,6.89E-05,0.000362393,0.000346202,6.25E-05
187,7.20E-05,0.000343447,0.000322006,6.89E-05
188,7.68E-05,0.000315426,0.000297164,7.44E-05
189,7.85E-05,0.00032241,0.000313033,7.47E-05
190,7.37E-05,0.000324393,0.000298339,7.03E-05
191,8.19E-05,0.000310321,0.000290723,7.31E-05
192,6.73E-05,0.000305924,0.000290205,6.32E-05
193,7.39E-05,0.000325574,0.000312125,6.71E-05
194,7.11E-05,0.000339977,0.000310727,6.60E-05
195,8.51E-05,0.000312464,0.000293407,8.74E-05
196,8.39E-05,0.000299799,0.000282943,7.76E-05
197,6.82E-05,0.000300125,0.000279819,6.50E-05
198,6.30E-05,0.000295721,0.00027564,6.05E-05
199,7.07E-05,0.000302792,0.000281152,6.50E-05
200,6.42E-05,0.000306196,0.000287449,5.79E-05
201,6.37E-05,0.000302789,0.000282068,6.03E-05
202,7.68E-05,0.000295473,0.000280227,7.00E-05
203,6.20E-05,0.000314223,0.00029965,5.90E-05
204,6.68E-05,0.000308076,0.000294111,5.99E-05
205,6.72E-05,0.000304448,0.000282385,6.64E-05
206,5.99E-05,0.000291797,0.000270974,5.67E-05
207,8.23E-05,0.00029767,0.000277843,7.75E-05
208,7.04E-05,0.000299353,0.000278526,6.29E-05
209,6.30E-05,0.000310659,0.000289847,5.92E-05
210,6.67E-05,0.000294049,0.000273798,6.29E-05
211,8.41E-05,0.000290588,0.000271682,8.22E-05
212,6.15E-05,0.000287904,0.000270569,5.89E-05
213,5.95E-05,0.00030055,0.00027722,5.45E-05
214,6.11E-05,0.000293861,0.000273667,5.64E-05
215,6.08E-05,0.000287822,0.000271129,5.79E-05
216,6.78E-05,0.000295975,0.000277691,5.96E-05
217,6.00E-05,0.000294745,0.000271498,5.51E-05
218,6.10E-05,0.000292438,0.000269943,5.51E-05
219,5.64E-05,0.000281654,0.000261275,5.25E-05
220,5.88E-05,0.000294232,0.000274589,5.35E-05
221,6.68E-05,0.000277926,0.000260285,6.20E-05
222,5.77E-05,0.000280594,0.000260222,5.20E-05
223,5.75E-05,0.000287328,0.000265206,5.35E-05
224,6.50E-05,0.000281313,0.000263054,6.21E-05
225,6.07E-05,0.000280065,0.000264265,5.53E-05
226,5.73E-05,0.000285433,0.000262101,5.55E-05
227,6.07E-05,0.000280564,0.000263654,5.55E-05
228,5.72E-05,0.000276405,0.00025674,5.13E-05
229,6.33E-05,0.000287211,0.00027122,5.91E-05
230,6.18E-05,0.000276793,0.00025679,5.49E-05
231,5.98E-05,0.000293316,0.000283748,5.78E-05
232,6.30E-05,0.000275443,0.000257023,6.13E-05
233,5.87E-05,0.000279145,0.000258556,5.28E-05
234,5.53E-05,0.000274543,0.000255177,5.12E-05
235,6.63E-05,0.000275456,0.000255304,5.73E-05
236,5.99E-05,0.000275853,0.000255758,5.03E-05
237,5.52E-05,0.000274672,0.000255019,5.13E-05
238,5.95E-05,0.000271656,0.000252576,5.44E-05
239,5.54E-05,0.000269739,0.000251297,5.07E-05
240,5.96E-05,0.000267641,0.000248791,5.32E-05
241,5.56E-05,0.000268473,0.00024936,4.93E-05
242,5.69E-05,0.0002706,0.000252398,5.08E-05
243,5.95E-05,0.000273059,0.000253164,5.10E-05
244,5.48E-05,0.000266664,0.00024732,4.94E-05
245,5.68E-05,0.00026777,0.000249258,5.23E-05
246,5.71E-05,0.000265707,0.000246833,4.93E-05
247,5.82E-05,0.000267126,0.00024778,5.20E-05
248,5.50E-05,0.000274137,0.000253986,4.92E-05
249,5.79E-05,0.00026438,0.000246343,5.38E-05
250,5.77E-05,0.000267288,0.000247304,5.39E-05
251,6.08E-05,0.000265785,0.00024625,5.38E-05
252,5.29E-05,0.00026633,0.000246116,4.79E-05
253,6.13E-05,0.000263609,0.000246385,5.60E-05
254,5.16E-05,0.000262272,0.000243711,4.82E-05
255,5.70E-05,0.000263015,0.000245705,4.86E-05
256,5.28E-05,0.000261531,0.000242373,4.81E-05
257,5.13E-05,0.000263046,0.00024278,4.72E-05
258,5.57E-05,0.000262104,0.000243984,4.82E-05
259,5.15E-05,0.000260454,0.000242261,4.70E-05
260,5.45E-05,0.000264383,0.000244632,4.77E-05
261,5.47E-05,0.000268205,0.000245863,4.81E-05
262,5.40E-05,0.000263445,0.000243116,5.01E-05
263,5.24E-05,0.000259931,0.000240581,4.81E-05
264,5.32E-05,0.000261964,0.00024131,4.69E-05
265,6.20E-05,0.000266239,0.000250381,5.25E-05
266,5.10E-05,0.000259033,0.000239012,4.56E-05
267,5.34E-05,0.000257269,0.000239931,4.77E-05
268,5.17E-05,0.000258206,0.000240741,4.62E-05
269,4.99E-05,0.000257361,0.000239264,4.60E-05
270,5.34E-05,0.000258449,0.000238945,4.65E-05
271,5.11E-05,0.000259578,0.000242752,4.81E-05
272,5.15E-05,0.000255909,0.000238154,4.58E-05
273,5.18E-05,0.000257241,0.000238703,4.62E-05
274,5.29E-05,0.000258546,0.000239394,4.62E-05
275,5.13E-05,0.000256452,0.000237771,4.58E-05
276,5.29E-05,0.000256385,0.000236968,4.67E-05
277,5.19E-05,0.000255212,0.000237825,4.64E-05
278,5.33E-05,0.000255566,0.000237365,4.58E-05
279,5.11E-05,0.000257963,0.000238461,4.59E-05
280,5.01E-05,0.00025563,0.000235969,4.59E-05
281,5.05E-05,0.000254986,0.000236249,4.52E-05
282,5.30E-05,0.000254793,0.000235814,4.58E-05
283,5.27E-05,0.000253005,0.00023537,4.61E-05
284,5.31E-05,0.000253911,0.000236711,4.82E-05
285,5.08E-05,0.000252974,0.000234364,4.52E-05
286,5.37E-05,0.000255729,0.000234566,4.62E-05
287,5.00E-05,0.00025301,0.000235383,4.49E-05
288,5.04E-05,0.000252916,0.000234256,4.52E-05
289,4.99E-05,0.000252903,0.000233955,4.51E-05
290,5.37E-05,0.00025177,0.000234383,4.64E-05
291,4.95E-05,0.000253287,0.000235286,4.56E-05
292,4.94E-05,0.00025304,0.000234251,4.53E-05
293,5.24E-05,0.000251083,0.000232905,4.53E-05
294,4.97E-05,0.000253077,0.000232936,4.46E-05
295,5.07E-05,0.000251802,0.000231959,4.48E-05
296,4.93E-05,0.00025202,0.000232312,4.46E-05
297,5.01E-05,0.000251111,0.000232103,4.45E-05
298,5.24E-05,0.000251586,0.000231983,4.58E-05
299,5.09E-05,0.000251167,0.000232331,4.46E-05
